drug_id,compound_name_source,dili_category,scaffold_id,model,mean_probability,minimum_probability,negative_repeats,sensitivity_negative_repeats,repeats,mean_youden_threshold,mean_sensitivity_threshold,convergence_warnings,youden_false_negative_persistence,sensitivity_false_negative_persistence,curation_flags,review_status,resolution_method,identity_adjudication,active_moiety_adjudication,training_context,therapeutic_class
LT01139,Atomoxetine hydrochloride,vMost-DILI-concern,scaffold:c1ccc(COc2ccccc2)cc1,C,0.32337031511285386,0.2836940898638013,5,5,5,0.49824860471720295,0.45095794470207,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00539,Danazol,vMost-DILI-concern,scaffold:C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,C,0.3372873030208254,0.2988973821158701,5,5,5,0.511082827211003,0.4495726346109376,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01139,Atomoxetine hydrochloride,vMost-DILI-concern,scaffold:c1ccc(COc2ccccc2)cc1,D,0.34375719327502313,0.2450771297013171,5,5,5,0.6415644348136967,0.5693189334356844,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00416,Minocycline hydrochloride,vMost-DILI-concern,scaffold:O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,C,0.34687081624024135,0.2355369062022658,5,5,5,0.5689722443031547,0.4545248005006336,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00131,Perhexiline,vMost-DILI-concern,scaffold:C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,A,0.3495746052094947,0.2970605991203647,5,5,5,0.6841763274116358,0.6492480145390742,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00121,Methyldopa,vMost-DILI-concern,scaffold:c1ccccc1,C,0.3514288269730562,0.2714395238932746,5,5,5,0.5491940510918963,0.4380169080256727,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00179,Fluconazole,vMost-DILI-concern,scaffold:c1ccc(C(Cn2cncn2)Cn2cncn2)cc1,D,0.3521650501308068,0.2065194309984081,5,5,5,0.653400155067061,0.574815084705657,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01097,Voriconazole,vMost-DILI-concern,scaffold:c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1,C,0.3614337697056934,0.3019498153804876,5,5,5,0.49541148158464204,0.4549218725619751,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01263,Milnacipran hydrochloride,vMost-DILI-concern,scaffold:c1ccc(C2CC2)cc1,C,0.3643709340840414,0.2701607025270963,5,5,5,0.536031532756412,0.46645332778760934,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT02213,Alaproclate,vMost-DILI-concern,scaffold:c1ccccc1,C,0.36613153513694235,0.3284184403745243,5,5,5,0.5491940510918963,0.4380169080256727,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00160,Valproic acid,vMost-DILI-concern,acyclic:0029,C,0.3662568194235093,0.2634236970662325,5,5,5,0.5661175732154502,0.4550667142548672,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00280,Busulfan,vMost-DILI-concern,acyclic:0028,B,0.36640379774685283,0.3176541644596611,5,5,5,0.712330410946356,0.6514274141464693,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00539,Danazol,vMost-DILI-concern,scaffold:C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,D,0.36774713233760803,0.304445012939123,5,5,5,0.6404110561136462,0.5571560315744398,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01508,Mebanazine,vMost-DILI-concern,scaffold:c1ccccc1,C,0.37568658226424256,0.3538607247376948,5,5,5,0.5491940510918963,0.4380169080256727,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00112,Labetalol hydrochloride,vMost-DILI-concern,scaffold:c1ccc(CCCNCCc2ccccc2)cc1,D,0.38720764321540224,0.2256570347602107,5,5,5,0.7538003577984986,0.5691594331619403,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00416,Minocycline hydrochloride,vMost-DILI-concern,scaffold:O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,D,0.39301452465847847,0.3205519090957044,5,5,5,0.6840338730662163,0.5865529839533302,0,1.0,1.0,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01359,Exifone,vMost-DILI-concern,scaffold:O=C(c1ccccc1)c1ccccc1,C,0.40046664361121864,0.2785483964485216,5,4,5,0.5570014945421725,0.4508551114687508,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01651,Pentostatin,vMost-DILI-concern,scaffold:C1=NCCc2ncn(C3CCCO3)c2N1,B,0.40496184669282487,0.3753582484794082,5,5,5,0.6845362118306293,0.6471737031691711,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT02121,Nandrolone phenpropionate,vMost-DILI-concern,scaffold:O=C1C=C2CCC3C(CCC4C(OC(=O)CCc5ccccc5)CCC43)C2CC1,C,0.4068469407452093,0.3453994429015942,5,4,5,0.5275819415701658,0.44769850551124424,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,unique-pubchem-name-result,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00112,Labetalol hydrochloride,vMost-DILI-concern,scaffold:c1ccc(CCCNCCc2ccccc2)cc1,C,0.4103770953049389,0.3259948619917827,5,4,5,0.5460504906945647,0.44542716827887396,0,1.0,0.8,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01222,Tigecycline,vMost-DILI-concern,scaffold:O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,C,0.4107251517983229,0.3172923362272664,5,2,5,0.5689722443031547,0.4545248005006336,0,1.0,0.4,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01034,Acarbose,vMost-DILI-concern,scaffold:C1=CC(NC2CCC(OC3CCCOC3)OC2)CCC1,D,0.41722193365132754,0.261948689397309,5,5,5,0.7108144646042281,0.5629771431865895,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00187,Clarithromycin,vMost-DILI-concern,scaffold:O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,C,0.4179950699215219,0.3689906424011848,5,4,5,0.516751813355291,0.4419532003168185,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00092,Erythromycin estolate,vMost-DILI-concern,scaffold:O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,C,0.42350220643639336,0.3792761770561109,5,4,5,0.516751813355291,0.4419532003168185,0,1.0,0.8,EXACT_PRODUCT_PARENT_RETAINED_NON_EQUIVALENT_SUFFIX_FALLBACK,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01323,Efavirenz,vMost-DILI-concern,scaffold:O=C1Nc2ccccc2C(C#CC2CC2)O1,C,0.4256102402874428,0.3930041260439404,5,4,5,0.5619241429805382,0.4492870036894273,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT02035,Duloxetine hydrochloride,vMost-DILI-concern,scaffold:c1csc(COc2cccc3ccccc23)c1,C,0.4296357002750325,0.3572466823804387,5,3,5,0.5584011091341555,0.46300192999311546,0,1.0,0.6,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01508,Mebanazine,vMost-DILI-concern,scaffold:c1ccccc1,D,0.4342928743352653,0.3162533874077789,5,5,5,0.6662180166175714,0.5505540108303971,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00235,Oxymetholone,vMost-DILI-concern,scaffold:C=C1CC2C(CCC3C4CCCC4CCC23)CC1=O,C,0.4398143252176931,0.3772637401905659,5,4,5,0.53739317592531,0.4440393448624998,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT02213,Alaproclate,vMost-DILI-concern,scaffold:c1ccccc1,D,0.44067141510778657,0.3002840327885685,5,4,5,0.6662180166175714,0.5505540108303971,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01342,Estramustine phosphate sodium,vMost-DILI-concern,scaffold:c1ccc2c(c1)CCC1C2CCC2CCCC21,C,0.44784488194347505,0.4084198807616094,5,2,5,0.5251509891557096,0.4479575793175349,0,1.0,0.4,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00227,Ticlopidine hydrochloride,vMost-DILI-concern,scaffold:c1ccc(CN2CCc3sccc3C2)cc1,C,0.44837118115245056,0.4139725712062831,5,2,5,0.5156352186479178,0.4420986959391196,0,1.0,0.4,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01615,Nortriptyline hydrochloride,vMost-DILI-concern,scaffold:C=C1c2ccccc2CCc2ccccc21,C,0.45005537273866913,0.4082872493110042,5,2,5,0.5117235717358868,0.4504935373977255,0,1.0,0.4,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01371,Fialuridine,vMost-DILI-concern,scaffold:O=c1ccn(C2CCCO2)c(=O)[nH]1,A,0.4544272630424816,0.3658004806253471,5,5,5,0.6994387822445833,0.6453959989983054,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01222,Tigecycline,vMost-DILI-concern,scaffold:O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,D,0.456188223106746,0.3927808196455962,5,5,5,0.6840338730662163,0.5865529839533302,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00160,Valproic acid,vMost-DILI-concern,acyclic:0029,D,0.4607162674072683,0.4154371468833004,5,5,5,0.674460628547185,0.56936304840492,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01097,Voriconazole,vMost-DILI-concern,scaffold:c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1,D,0.4624974179149647,0.407554823344085,5,5,5,0.6556760077924604,0.5627410297789328,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00160,Valproic acid,vMost-DILI-concern,acyclic:0029,A,0.4712311123023687,0.4405543645379238,5,5,5,0.6927336194303525,0.6591347864163902,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT01263,Milnacipran hydrochloride,vMost-DILI-concern,scaffold:c1ccc(C2CC2)cc1,D,0.48232328229091176,0.3635390915210966,5,4,5,0.651572143268937,0.5755102717589342,0,1.0,0.8,PUBCHEM_ACTIVE_MOIETY_EQUIVALENCE_CONFIRMED,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,compound-name-suffix-resolved-to-unique-or-exact-PubChem-active,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00845,Oxandrolone,vMost-DILI-concern,scaffold:O=C1CC2CCC3C4CCCC4CCC3C2CO1,D,0.48452346386400913,0.372549040651731,5,4,5,0.6750882147977082,0.5634118326168507,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00295,Disulfiram,vMost-DILI-concern,acyclic:0027,D,0.48814767652125635,0.265943911366082,5,3,5,0.6889842401229684,0.5998218985407945,0,1.0,0.6,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00131,Perhexiline,vMost-DILI-concern,scaffold:C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,B,0.4886936810026324,0.3789551441985995,5,5,5,0.6999986054859562,0.646947810495641,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00580,Methimazole,vMost-DILI-concern,scaffold:S=c1[nH]cc[nH]1,C,0.48870758742739256,0.4031653659301094,5,2,5,0.5638775375648984,0.4586903473742704,0,1.0,0.4,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00240,Etodolac,vMost-DILI-concern,scaffold:c1ccc2c3c([nH]c2c1)COCC3,C,0.49874333274513794,0.4609616928667827,5,0,5,0.5406330073297586,0.44764004383943246,0,1.0,0.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00539,Danazol,vMost-DILI-concern,scaffold:C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,B,0.5018559473955077,0.4159600191590789,5,5,5,0.6856215440705841,0.6589128934287029,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00845,Oxandrolone,vMost-DILI-concern,scaffold:O=C1CC2CCC3C4CCCC4CCC3C2CO1,A,0.504325812604554,0.4834742850072364,5,5,5,0.6941597205639432,0.64446803412188,0,1.0,1.0,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
LT00097,Felbamate,vMost-DILI-concern,scaffold:c1ccccc1,D,0.5048838956352639,0.4140544429936881,5,4,5,0.6662180166175714,0.5505540108303971,0,1.0,0.8,none,rules-applied-pending-independent-review,exact-name,exact-title-among-candidates,not applicable,Outer-fold out-of-fold prediction; molecule and its chemical group were absent from that fit.,Not available in the locked DILIrank source; no post hoc class was inferred.
